movie_id,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,plot_keywords,num_critic_for_reviews,duration,director_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
11,Meet the Browns,Tyler Perry,Lamman Rucker,David Mann,Denise Boutte,Comedy,african american|character name in title|family relationships|sitcom,3,30,,,1922,1530,2,20,,,,378,3.5,1.85,211
12,Yu-Gi-Oh! Duel Monsters,Eric Stuart,Pablo Sevilla,,,Action|Adventure|Animation|Family|Fantasy,anime|based on manga|hero|surrealism|zen,6,24,,,12417,0,0,51,,,,,7,,124
13,Fired Up,Will Gluck,Leah Remini,Mark Feuerstein,Sharon Lawrence,Comedy,sitcom,,30,,,114,1557,2,6,,,,417,6.7,1.33,4
14,The Doombolt Chase,Robert Fuest,Peter Vaughan,George Coulouris,Ewen Solon,Drama|Family,,,30,,,18,344,4,,,,,11,7.2,,0
15,Unforgettable,Jonathan Teplitzky,Poppy Montgomery,Dylan Walsh,Dallas Roberts,Drama|Mystery,hyperthymesia|new york city|police,14,60,,,12854,1906,1,44,,,,426,6.7,,0
16,The Messengers,Danny Pang Phat,Joel Courtney,Jessika Van,Riley Smith,Drama|Fantasy|Mystery|Thriller,,3,60,,,7210,4561,0,57,,,,921,6.6,16,0
17,The Company,Robert Altman,Anna Silk,Tom Hollander,Alessandro Nivola,Drama|History|Thriller,cia|mole|revolution|spy|ussr,9,286,,,3828,3809,3,39,,,,555,7.9,1.78,733
18,Ghost Hunters,Tom Thayer,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost|paranormal|paranormal research|shaky cam,17,60,,,5563,552,0,57,,,,130,6.6,,373
19,The Border,Ali Abbasi,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action|Crime|Drama|Thriller,,1,41,,,271,74,4,2,,,,2,7.4,,64
20,Lovesick,Tyson Caron,Antonia Thomas,Johnny Flynn,Hannah Britland,Comedy,blond boy|chlamydia|list|male rear nudity|young couple,3,24,,,2651,592,3,18,,,,102,7.9,,0
21,Wuthering Heights,William Wyler,Tom Hardy,Jack O'Connell,Kevin McNally,Drama|Romance,abuse|love|moor the landscape|revenge|tv mini series,9,142,,,6053,29196,2,33,,,,698,7.7,,0
22,Nikita,Luc Besson,Melinda Clarke,Xander Berkeley,Aaron Stanford,Action|Crime|Drama|Thriller,assassin|death|female protagonist|rogue|training,27,60,,,42402,2352,1,83,,,,485,7.7,16,0
23,Emma,Douglas McGrath,Romola Garai,Blake Ritson,Rupert Evans,Comedy|Drama|Romance,friendship|love triangle|matchmaker|naivety|opposites attract,10,240,,,10388,2563,1,50,,,,432,8.2,1.78,0
24,Secrets and Lies,Mike Leigh,Dan Fogler,Indiana Evans,KaDee Strickland,Crime|Drama,,5,43,,,6762,1587,0,27,,,,560,7.7,16,2000
25,Animal Kingdom,David Michod,Dorian Missick,Daniella Alonso,Ellen Barkin,Crime|Drama,based on film|brother brother relationship|crime family|remake|southern california,8,60,,,3673,3026,0,23,,,,557,8.1,16,0
26,The Secret,Drew Heriot,James Nesbitt,Ash Cook,Genevieve O'Reilly,Drama|Thriller,adultery|baptist church|dentist|double murder|tv mini series,1,45,,,653,1393,3,4,,,,133,7.3,,405
27,Deadline Gallipoli,Michael Rymer,Rachel Griffiths,Jessica De Gouw,Luke Ford,Drama|War,gallipoli|tv mini series|world war one,,197,,,299,1400,0,1,,15000000,,476,7.4,,367
28,Creature,William Malone,Craig T. Nelson,Colm Feore,Megalyn Echikunwoke,Horror|Sci-Fi|Thriller,author cameo|family relationships|island|monster|two part tv movie,10,173,,,2011,3149,3,33,,,,539,5,1.78,518
29,BrainDead,Peter Jackson,Danny Pino,Megan Hilty,Zach Grenier,Comedy|Drama|Horror|Sci-Fi|Thriller,brains|exploding head|politician|swarm behavior|washington d.c.,7,44,,,2948,1551,0,28,,,,341,7.9,16,3000
30,The Grand,Zak Penn,Susan Hampshire,Amanda Mealing,Tim Healy,Drama,concierge|front desk|hotel|maid|prostitute,4,60,,,437,158,0,20,,,,37,7.6,1.33,450
31,In the Heat of the Night,Norman Jewison,Carroll O'Connor,Alan Autry,Crystal R. Fox,Crime|Drama|Mystery,detective|mississippi|police|police detective|small town,1,60,,,2258,1736,1,24,,,,360,7.4,1.33,763
32,Get Real,Simon Shore,Anne Hathaway,Jon Tenney,Debrah Farentino,Comedy|Drama|Romance,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,1,60,,,415,11618,5,26,,,,289,7.3,1.33,43
33,Wings,William A. Wellman,Steven Weber,Tim Daly,Amy Yasbeck,Comedy|Drama,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,19,30,,,7646,1884,5,56,,,,511,7.3,1.33,1000
34,The Streets of San Francisco,William Hale,Karl Malden,Michael Douglas,,Action|Crime|Drama|Mystery,city name in series title|homicide|older man younger man relationship|place in series title|police partner,13,120,,,3405,416,0,13,,,,0,7.3,4,533
35,Space: Above and Beyond,Glen Morgan,James Morrison,Tucker Smallwood,Kristen Cloke,Drama|Sci-Fi,alien|born in vitro|in vitro fertilization|marine|outer space,8,60,,,6381,611,0,79,,5000000,,121,7.7,1.33,963
36,Wolf Creek,Greg McLean,Richard Cawthorne,John Jarratt,Lucy Fry,Drama|Horror|Thriller,based on true story|blood|serial killer|slasher|tv mini series,2,,,,726,1617,0,6,,,,457,7.1,2,954
37,Jesse,Fred Carpenter,Eric Lloyd,David DeLuise,Bruno Campos,Comedy,1990s|brother sister relationship|female protagonist|single mother|sitcom,,30,,,954,1713,8,14,,,,275,5.9,,57
38,Harry Potter and the Deathly Hallows: Part II,Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,Action|Fantasy,,1,,0,,381,11036,1,2,,,2011,570,7.5,,40
39,Harry Potter and the Deathly Hallows: Part I,Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy,,4,,0,,252,14719,1,2,,,2010,2000,6.4,,25
40,Asterix at the Olympic Games,Frederic Forestier,Alain Delon,Santiago Segura,Vanessa Hessler,Adventure|Comedy|Family|Fantasy,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,33,116,0,,20567,1609,1,36,,78000000,2008,276,5.1,2.35,291
41,"10,000 B.C.",Christopher Barnard,Mathew Buck,,,Comedy,,,22,0,,6,5,0,,,,,,7.2,,0
42,Dragon Nest: Warriors' Dawn,Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu,Adventure|Animation|Family|Fantasy,,4,88,0,,2169,196,0,18,,40000000,2014,47,6.4,,0
43,Thunder and the House of Magic,Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,Adventure|Animation|Comedy|Family|Fantasy,,60,85,0,4091,4265,369,0,16,,34000000,2013,15,6.3,2.35,0
44,A Warrior's Tail,Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,Adventure|Animation|Fantasy,battle|creature|hyena|monkey|village,5,85,0,,393,229,1,7,,30000000,2015,35,4.1,,161
45,The Magic Flute,Kenneth Branagh,Kim-Marie Woodhouse,Amy Carson,Joseph Kaiser,Drama|Musical|Romance,based on opera|evil|mozart|queen|walking wounded,38,135,0,,926,24,1,19,,27000000,2006,4,6.6,2.35,359
46,Viy,Oleg Stepchenko,Jason Flemyng,Igor Jijikine,Agnia Ditkovskite,Adventure|Fantasy|Mystery|Thriller,cartographer|creature|foreign language adaptation|sword and sorcery|village,25,107,0,,3170,1166,1,18,,26000000,2014,65,5.4,1.85,0
47,Ramanujan,Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography|Drama|History,ramanujan,2,153,0,,102,164,0,1,,,2014,36,7,2.35,58
48,Firestorm,Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action|Crime|Thriller,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,23,118,0,,1904,635,1,12,,,2013,91,6.2,2.35,332
49,Towering Inferno,John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,,,65,0,,10,1125,2,,,,,179,9.5,1.33,0
50,Madadayo,Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,Drama,air raid|beer|birthday|japan|professor,25,134,0,48856,3466,30,0,40,,11900000,1993,6,7.5,1.85,355
51,Housefull,Sajid Khan,Arjun Rampal,Boman Irani,Riteish Deshmukh,Comedy,bad luck|casino|lie|mix up|stutter,10,144,0,1165104,8598,1121,5,43,,,2010,154,5.3,,250
52,Jungle Shuffle,Taedong Park,Drake Bell,Tom Arnold,Amanda Troop,Adventure|Animation,,8,85,0,,162,2259,0,2,,10000000,2014,618,4.8,,186
53,Barbecue,Eric Lavaine,Lambert Wilson,Julie Engelbrecht,Lionel Abelanski,Comedy,,17,98,0,,1673,253,1,1,,,2014,41,6.1,2.35,348
54,Silmido,Woo-Suk Kang,Yu-mi Jeong,Sung-kee Ahn,Kyung-gu Sol,Action|Drama,based on book|based on true story|rape|title spoken by character,15,135,0,,3290,97,0,17,,8000000,2003,15,7.2,2.35,387
55,Restless,Edward Hall,Rufus Sewell,Hayley Atwell,Charlotte Rampling,Drama|Romance,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,17,180,0,,2098,6343,2,12,,,2012,2000,7.2,16,434
56,Michael Jordan to the Max,Don Kempf,Bill Murray,Michael Jordan,Bob Costas,Documentary|Sport,basketball|basketball player|character name in title|chicago bulls|imax,14,46,0,18642318,1723,13448,0,13,,,2000,366,7.5,1.44,407
57,Criminal Activities,Jackie Earle Haley,Rex Baker,Edi Gathegi,Travis Aaron Wade,Crime|Drama|Thriller,african american gangster|falling to death|in over one's head|murder|surveillance,46,94,0,,5255,17377,3,38,,7000000,2015,725,5.8,2.35,0
58,Dolphins and Whales 3D: Tribes of the Ocean,Jean-Jacques Mantello,Charlotte Rampling,Daryl Hannah,,Adventure|Documentary|Short,3d in title|animal in title|digit in title|dolphin|manatee,9,42,0,7518876,172,844,0,5,,6000000,2008,0,6.5,1.78,28
59,Sea Rex 3D: Journey to a Prehistoric World,Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,3d|imax|plesiosaur|sea|water,7,41,0,4074023,296,55,0,4,,5000000,2010,0,6.9,1.78,89
60,"Gandhi, My Father",Feroz Abbas Khan,Akshaye Khanna,Bhoomika Chawla,Darshan Jariwala,Biography|Drama|History,africa|hindu|india|muslim|south africa,16,136,0,240425,1311,172,0,25,,,2007,45,7.4,2.35,133
61,Camping sauvage,Christophe Ali,Denis Lavant,Isild Le Besco,Emmanuelle Bercot,Drama,cabin|girl fight|jealousy|sailing boat|tent,7,79,0,,262,286,0,6,,,2005,40,5.4,,11
62,Barfi,Shekar,Bhama,Diganth,Dileep Raj,Comedy|Romance,,1,,0,,57,5,2,1,,,2013,0,7.1,,2
63,Out of the Blue,Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,Crime|Drama,true crime,43,100,0,728,2776,122,0,22,,,2006,10,7.3,1.85,285
64,Mozart's Sister,Rene Feret,Nicolas Giraud,Clovis Fouin,Marie Feret,Biography|Drama|Music|Romance,mozart|musical prodigy|royal court|singer|talent,50,120,0,706622,1213,53,2,17,,,2010,12,6.4,1.85,0
65,Fugly,Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,Drama|Thriller,,9,134,0,,781,496,4,7,,,2014,82,4.7,,62
66,Cargo,Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery|Sci-Fi|Thriller,23rd century|lucid dream|outer space|space travel|trapped in space,64,112,0,,15780,61,0,62,,4500000,2009,9,6.2,2.35,2000
67,The Geographer Drank His Globe Away,Aleksandr Veledinskiy,Konstantin Khabenskiy,Elena Lyadova,Eugenia Khirivskaya,Adventure|Drama,rafting|russia|school|student|teacher,8,120,0,,2488,183,0,3,,4000000,2013,45,7.5,,282
68,Purple Violets,Edward Burns,Debra Messing,Rosemarie DeWitt,Peter Jacobson,Comedy|Drama|Romance,directed by star|written and directed by cast member,6,103,0,,2727,1585,5,19,,4000000,2007,536,6.6,1.85,296
69,The Betrayed,Amanda Gusack,Alice Krige,Christian Campbell,Blaine Anderson,Crime|Drama|Mystery|Thriller,blood splatter|ski mask|stolen money|vomiting|warehouse,15,98,0,,1634,668,0,11,,3500000,2008,168,6.1,1.85,127
70,02:13,Charles Adelman,Teri Polo,Kevin Pollak,Jere Burns,Horror|Thriller,death|forensic|murder|profiler|serial killer,4,96,0,,961,2307,0,12,,3500000,2009,574,4.8,2.35,211
71,Silver Medallist,Hao Ning,Jack Kao,Bo Huang,Zheng Xu,Action|Adventure|Comedy,color in title,5,99,0,,1418,19,1,4,,15000000,2009,4,7.4,2.35,30
72,Sur le seuil,Eric Tessier,Patrick Huard,Michel Cote,Jean Pierre Bergeron,Action|Drama|Horror|Thriller,canadian gothic|hospital|murder|paranormal|supernatural,9,99,0,,1003,79,0,5,,3200000,2003,16,6.6,1.85,39
73,Antibirth,Danny Perez,Natasha Lyonne,Emmanuel Kabongo,Mark Webber,Horror,,10,94,0,,63,2406,1,2,,3500000,2016,677,6.3,,89
74,Sharkskin,Dan Perri,Travis Myers,David Proval,Carmen Argenziano,Comedy|Drama|Mystery|Romance|Thriller,,1,100,0,,6,1814,0,1,,2100000,2015,354,6.7,2.39,14
75,Containment,Neil Mcenery-West,Walter Hendrix III,Michael Chapman,Louise Brealey,Horror|Sci-Fi|Thriller,hazmat suit,33,77,0,,1355,2044,0,21,,,2015,366,4.8,,275
76,"To Be Frank, Sinatra at 100",Simon Napier-Bell,Alice Cooper,Tim Rice,Louis Walsh,Documentary,,,81,0,,7,712,0,,,2000000,2015,27,7.4,,0
77,Abandoned,John Laing,Siobhan Marshall,Peter Feeney,Rachel Nash,Drama,boat|one word title|sea|storm|survivor,,86,0,,333,90,5,6,,,2015,40,6.3,,213
78,Vaalu,Vijay Chandar,Hansika Motwani,T.R. Silambarasan,Brahmanandam,Comedy|Romance,,3,155,0,,563,349,2,6,,150000000,2015,77,5.1,,82
79,Dil Jo Bhi Kahey...,Romesh Sharma,Annabelle Wallis,Revathy,Bhoomika Chawla,Romance,,4,,0,129319,257,622,4,4,,70000000,2005,96,5.1,,9
80,Fetching Cody,David Ray,Nicole Munoz,Sarah Lind,Kyla Wise,Drama|Fantasy|Romance,death|high school|prostitute|suicide|time travel,16,87,0,,1232,596,2,10,,1500000,2005,134,6.8,,193
81,The Ballad of Gregorio Cortez,Robert M. Young,Barry Corbin,Bruce McGill,Ned Beatty,Western,,,105,0,,39,3164,0,2,,1250000,1982,655,7.1,,32
82,Neal 'N' Nikki,Arjun Sablok,Abhishek Bachchan,Uday Chopra,Samantha McLeod,Comedy|Musical|Romance,interrupted sex|kiss|love|mistaken sex scene|sex in car,5,97,0,100358,1167,602,2,24,,1500000,2005,145,3.3,2.35,66
83,Da Sweet Blood of Jesus,Spike Lee,Rami Malek,Elvis Nolasco,Felicia Pearson,Comedy|Romance|Thriller,horror movie remake|remake|undead|undead sex|undead sexuality,46,123,0,,794,4040,0,9,,1420000,2014,372,4.1,2.35,447
84,The Amazing Catfish,Claudia Sainte-Luce,Ximena Ayala,Vera Wilson,Jose Manuel Orozco Angulo,Comedy|Drama,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,50,89,0,11278,1229,58,0,2,,1300000,2013,24,7,,407
85,Certifiably Jonathan,James David Pasternak,Robin Williams,Sarah Silverman,Jonathan Winters,Comedy|Documentary,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,17,85,0,7826,132,54484,10,2,,1200000,2007,931,6.2,,87
86,Q,Laurent Bouhnik,Deborah Revy,Johnny Amaro,Yassine Azzouz,Drama,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,9,103,0,,4068,114,1,16,,1500000,2011,29,5.6,1.78,754
87,The Knife of Don Juan,Tom Sanchez,Nataniel Sanchez,Antonio Arrue,Juan Carlos Montoya,Comedy|Drama,,1,110,0,3830,27,5,3,1,,1200000,2013,2,7.2,,75
88,Bleeding Hearts,Dylan Bank,Seregon O'Dassey,Deirdre Lorenz,Dustin Diamond,Horror,bare breasts|bra and panties|nudity|syringe,7,100,0,,71,1810,1,2,,1200000,2015,350,4.2,,242
89,Sex with Strangers,Harry Gantz,Nikki Fairchild,Jordan Kingsley,Kiara Diane,Documentary|Drama,bisexual|explicit sex|sex|stranger|swing,12,105,0,247740,285,0,0,8,,,2002,,4.7,1.33,51
90,Love Me Tender,Robert D. Webb,James Drury,Neville Brand,Debra Paget,Drama|Romance|Western,army|civil war|robbery|soldier|train,39,89,0,,2636,831,1,36,,1000000,1956,110,6.2,2.35,365
91,Departure,Andrew Steggall,Juliet Stevenson,Alex Lawther,Niamh Cusack,Drama|Family|Romance,france|gay|language|male masturbation|masturbation,29,109,0,,162,283,0,5,,1100000,2015,47,7,1.85,75
92,Hits,David Cross,Jason Ritter,Matt Walsh,Amy Sedaris,Comedy|Drama,courtroom|independent film|internet|small town|youtube,20,96,0,,1359,2607,1,8,,1000000,2014,490,5.8,1.78,903
93,My Last Day Without You,Stefan C. Schaefer,Nicole Beharie,Marlene Forte,Reg E. Cathey,Comedy|Drama|Romance,business trip|german|love|new york|singer songwriter,21,90,0,,982,2116,1,12,,1000000,2011,395,5.7,1.66,370
94,Bang Bang Baby,Jeffrey St. Jules,Boyd Banks,Chloe Rose,Kristian Bruun,Drama|Musical|Sci-Fi,,16,90,0,,137,231,2,16,,1000000,2014,40,5.4,,48
95,Food Chains,Sanjay Rawal,Alma Martinez,Robert Kennedy Jr.,Eve Ensler,Documentary|News,two word title,9,83,0,,265,104,0,3,,913000,2014,28,7.1,,489
96,Elza,Mariette Monpierre,Stana Roumillac,Christophe Cherki,Teddy Doloir,Drama,foreign|french,2,78,0,,19,0,1,2,,900000,2011,0,6.7,16,24
97,Harrison Montgomery,Daniel Davila,Martin Landau,Melora Walters,Diane Baker,Drama,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,5,95,0,,59,1484,2,1,,850000,2008,188,7.4,1.78,18
98,Vessel,Clark Baker,Taylor Pigeon,Alan Pietruszewski,Whit Spurgeon,Horror|Sci-Fi|Short|Thriller,alien|flight attendant|monster|pilot|tentacle,1,14,0,,292,315,1,3,,,2012,93,6.2,,14
99,Adulterers,H.M. Coakley,Mehcad Brooks,Steffinnie Phrommany,Danielle Savre,Crime|Drama|Thriller,cheating husband|female nudity|male nudity|male rear nudity|revenge,8,91,0,,514,1210,3,1,,750000,2015,320,4.9,2.35,158
100,The Hadza: Last of the First,Bill Benenson,Alfre Woodard,Dave Fennoy,Jane Goodall,Documentary,east africa|hunter gatherer|indigenous|rift valley|swahili,1,71,0,,5,1359,1,1,,650000,2014,338,7.4,,5
101,They Will Have to Kill Us First,Johanna Schwartz,Aliou Toure,Garba Toure,Khaira Arby,Documentary,,22,105,0,,74,0,3,2,,400000,2015,0,7.7,,34
102,Julija in alfa Romeo,Blaz Zavrsnik,Dario Nozic Serini,Spela Colja,Andrej Nahtigal,Comedy,,2,83,0,,86,0,6,2,,500000,2015,0,6.4,2.35,18
103,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Molly Bernstein,David Mamet,Ricky Jay,Dick Cavett,Documentary,stage magician,39,88,0,151389,774,483,0,7,,500000,2012,79,7.1,,590
104,Crazy Stone,Hao Ning,Bo Huang,Zheng Xu,Zhonghua Chen,Comedy|Crime,bankruptcy|crystal|father son relationship|heist|shower,11,98,0,,2097,8,1,9,,3000000,2006,4,7.7,2.35,23
105,America Is Still the Place,Patrick Gilles,Emma Caulfield,Dylan Baker,Mike Colter,History,,,90,0,,22,3359,0,,,,2015,812,7.5,,337
106,Born to Fly: Elizabeth Streb vs. Gravity,Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,Action|Biography|Documentary|Sport,three word title,10,82,0,21199,40,0,1,10,,500000,2014,0,6.8,,44
107,The Little Ponderosa Zoo,Luke Dye,Mike Stanley,Jeff Delaney,Jamison Stalsworth,Family,,1,84,0,,15,683,2,1,,500000,2016,169,5.2,16,9
108,Mutual Friends,Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Michael Stahl-David,Comedy|Romance,bromance|manhattan new york city|new york city|photograph|surprise,3,86,0,,64,2830,1,3,,450000,2013,469,6.8,,31
109,Love in the Time of Monsters,Matt Jackson,Kane Hodder,Paul Elia,Alex Sanborn,Comedy|Horror,bigfoot|love|monster|sasquatch|tourist,9,97,0,,143,2350,3,5,,500000,2014,709,5.4,,194
110,Censored Voices,Mor Loushy,Amos Oz,,,Documentary|History,,23,84,0,34151,186,3,0,3,,450000,2015,,7.2,1.78,111
111,Rotor DR1,Chad Kapper,Tom E. Nicholson,Natalie Welch,Christian Kapper,Family|Sci-Fi,drone|playing with gun|post apocalypse|road trip|working class family,4,98,0,,209,199,2,8,,350000,2015,3,3.4,2.35,240
112,Amidst the Devil's Wings,Daniel Columbie,Keri Maletto,Nicholas Simmons,Barbie Castro,Action|Crime|Drama,,,90,0,,28,1461,0,,,300000,2014,553,4.3,,17
113,Teeth and Blood,Al Franklin,Marshal Hilton,Steffinnie Phrommany,Clint Jung,Horror,blood|teeth,,96,0,,24,1399,0,2,,300000,2015,320,4.3,16,85
114,The Sticky Fingers of Time,Hilary Brougher,James Urbaniak,Samantha Buck,Terumi Matthews,Sci-Fi,future|nonlinear timeline|time travel|title directed by female|writer,8,81,0,18195,336,154,0,7,,250000,1997,24,6.3,1.85,67
115,Along the Roadside,Zoran Lisinac,Matthew Emerick,Brock Baker,Sheldon Bailey,Comedy|Music|Romance,,17,108,0,,330,1087,3,2,,250000,2013,297,7.1,1.85,231
116,Solitude,Livingston Oden,Susan Chambers,Victoria Lachelle,Ali Daniels,Comedy|Horror|Mystery|Thriller,,1,89,0,,78,192,0,1,,,2014,18,6.8,,267
117,Theresa Is a Mother,C. Fraser Press,Elaine Bromka,Robert Turano,Matthew Gumley,Comedy|Drama|Music,,13,105,0,,37,263,0,1,,200000,2012,32,6.7,,38
118,H.,Rania Attieh,Paul Hickert,Robin Bartlett,Rebecca Dayan,Drama|Sci-Fi|Thriller,,18,93,0,,191,338,0,1,,,2014,79,6.3,,142
119,Archaeology of a Woman,Sharon Greytak,Sally Kirkland,Alex Emanuel,Elaine Bromka,Drama,,3,94,0,,15,1112,1,3,,200000,2012,375,8.1,1.78,66
120,Butterfly Girl,Cary Bell,Abigail Evans,Stacie Evans,Emily Gorell,Documentary,,,78,0,,27,0,0,1,,180000,2014,0,8.7,,88
121,The World Is Mine,Nicolae Constantin Tanase,Iulia Ciochina,Ana Maria Guran,Ana Vatamanu,Drama,,5,104,0,,354,0,1,1,,168000,2015,0,6.5,,34
122,Perfect Cowboy,Ken Roht,Charla Cochran,Joe Lev,Sienna Beckman,Drama,country singer|father son relationship|music group,,109,0,,8,364,3,,,200000,2014,54,7,,65
123,Antarctic Edge: 70,Dena Seidel,Naderev Sano,Hugh Ducklow,Mike Brett,Adventure|Documentary,,5,72,0,4914,123,0,0,2,,150000,2015,0,7,,215
124,Top Spin,Sara Newens,Ariel Hsing,Xinhua Jiang,Michael Landers,Documentary,,18,80,0,5858,260,0,0,2,,150000,2014,0,7.1,,116
125,The Blood of My Brother,Andrew Berends,Kyle Forte,La'Vonne Horn,Patrick Ladonis,Documentary|War,american|blood|dream|patrol|tank,12,90,0,,102,0,1,7,,120000,2005,,6.6,1.66,14
126,Une Femme Mariee,Jean-Luc Godard,Philippe Leroy,Macha Meril,Rita Maiden,Drama,acting|actor|face slap|fashion|magazine,36,94,0,,1962,27,0,10,,120000,1964,7,7.4,1.37,187
127,Over the Hill to the Poorhouse,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,Crime|Drama,family relationships|gang|idler|poorhouse|thief,1,110,0,3000000,5,4,1,1,,100000,1920,2,4.8,1.33,0
128,Echo Dr.,Patrick Ryan Sims,Claire Gordon-Harper,Hugh Mun,Johnathan Hurley,Action|Drama|Sci-Fi|Thriller,android|artificial intelligence|home invasion|security system|tech noir,5,81,0,,101,459,2,1,,100000,2013,18,3.6,1.78,17
129,The Naked Ape,Daniel Mellitz,Corbin Bernsen,Chelse Swain,Amanda MacDonald,Comedy|Drama,coming of age|male nudity|road trip|skinny dipping|teenager,,,0,,128,1077,0,3,,,2006,36,4.7,,2
130,Bending Steel,Dave Carroll,Chris 'Wonder' Schoeck,,,Documentary,,10,92,0,,53,0,0,10,,50000,2013,,7.9,16,33
131,Dawn of the Crescent Moon,Kirk Loudon,Barry Corbin,Johnny Walter,Shiree Nelson,Drama|Sci-Fi|Thriller,,3,95,0,,34,2618,0,2,,75000,2014,507,5,,87
132,Dutch Kills,Joseph Mazzella,Tjasa Ferme,Mikaal Bates,Damon Owlia,Crime|Drama|Thriller,,,90,0,,57,366,2,2,,25000,2015,25,4.8,,33
133,Stories of Our Lives,Jim Chuchu,Paul Ogola,Olwenya Maina,Mugambi Nthiga,Drama,,6,60,0,,70,170,0,1,,15000,2014,19,7.4,,45
134,A Plague So Pleasant,Benjamin Roberds,Eva Boehnke,Maxwell Moody,David Chandler,Drama|Horror|Thriller,,13,76,0,,38,0,0,3,,1400,2013,0,6.3,,16
135,Little Nicholas,Laurent Tirard,Louise Bourgoin,Sandrine Kiberlain,Kad Merad,Comedy|Family,baby|dinner|family relationships|school|three word title,56,91,2,,9214,545,7,17,,,2009,71,7.2,1.85,0
